POSTCODE,PolicyType,STAYHOME_days,FM_ALL_days,Population,Total Deaths,EffectiveOffset,pct_of_pop_dead
AL,STEMERG_days,94.0,197.0,7278717,4300.0,72.0,0.05907634546033319
AK,STEMERG_days,87.0,114.0,3017804,21797.0,70.0,0.7222801745905301
AZ,STEMERG_days,90.0,,39512223,1173.0,70.0,0.0029687016091197904
AR,STEMERG_days,,201.0,5758736,6891.0,70.0,0.11966167575662437
CA,STEMERG_days,78.0,169.0,3565287,91853.0,63.0,2.5763143331799094
CO,STEMERG_days,85.0,197.0,973764,9925.0,70.0,1.0192408016726846
CT,STEMERG_days,,110.0,705749,2977.0,69.0,0.42182135575112395
DE,STEMERG_days,83.0,118.0,21477737,15163.0,72.0,0.0705986855132829
DC,STEMERG_days,91.0,203.0,10617423,665.0,70.0,0.00626329006577208
FL,STEMERG_days,93.0,,164229,4583.0,68.0,2.790615542930907
GA,STEMERG_days,93.0,,1415872,3102.0,73.0,0.219087601139086
HI,STEMERG_days,84.0,320.0,1787065,2017.0,63.0,0.11286662768282073
ID,STEMERG_days,84.0,,12671821,17969.0,72.0,0.14180282376147832
IL,STEMERG_days,80.0,121.0,6732219,23013.0,68.0,0.341833799524347
IN,STEMERG_days,84.0,208.0,3155070,2414.0,65.0,0.07651177311438415
IA,STEMERG_days,,321.0,2913314,1846.0,68.0,0.06336426488871437
KS,STEMERG_days,89.0,184.0,4467673,20267.0,71.0,0.45363660232071595
KY,STEMERG_days,,191.0,4648794,5058.0,65.0,0.1088024119803975
LA,STEMERG_days,82.0,219.0,1344212,43137.0,70.0,3.2090920182233162
ME,STEMERG_days,92.0,121.0,6045680,18652.0,74.0,0.3085178176813857
MD,STEMERG_days,89.0,108.0,6892503,20562.0,64.0,0.2983241356587005
MA,STEMERG_days,83.0,126.0,9986857,32317.0,69.0,0.32359530130450453
MI,STEMERG_days,83.0,117.0,5639632,35721.0,69.0,0.6333923915603004
MN,STEMERG_days,87.0,206.0,2976149,10630.0,72.0,0.35717297756261535
MS,STEMERG_days,93.0,217.0,6626371,92442.0,73.0,1.395062244477407
MO,STEMERG_days,96.0,,1068778,4031.0,72.0,0.37715970950000843
MT,STEMERG_days,87.0,196.0,1934408,8278.0,71.0,0.4279345412136426
NE,STEMERG_days,,,3080156,9298.0,72.0,0.3018678274736734
NV,STEMERG_days,90.0,177.0,1359711,1371.0,71.0,0.10083024995752773
NH,STEMERG_days,87.0,324.0,8882190,4764.0,72.0,0.05363542099414671
NJ,STEMERG_days,80.0,98.0,2096829,2421.0,68.0,0.11546005897476619
NM,STEMERG_days,83.0,135.0,19453561,64009.0,70.0,0.329034874386237
NY,STEMERG_days,81.0,107.0,10488084,19724.0,66.0,0.1880610414638174
NC,STEMERG_days,89.0,177.0,762062,488575.0,69.0,64.11223758696799
ND,STEMERG_days,,318.0,55144,2397.0,72.0,4.346801102567823
OH,STEMERG_days,83.0,204.0,11689100,47197.0,68.0,0.4037693235578445
OK,STEMERG_days,,,3956971,11073.0,74.0,0.2798352578272623
OR,STEMERG_days,82.0,182.0,4217737,37699.0,67.0,0.8938205487919232
PA,STEMERG_days,91.0,182.0,12801989,31478.0,65.0,0.24588366698331016
RI,STEMERG_days,87.0,128.0,3754939,2586.0,68.0,0.06886929454779425
SC,STEMERG_days,97.0,,1059361,3381.0,72.0,0.3191546602149787
SD,STEMERG_days,,,5148714,174983.0,72.0,3.3985768096654816
TN,STEMERG_days,92.0,,884659,4920.0,71.0,0.5561464926033647
TX,STEMERG_days,,184.0,6829174,9501.0,72.0,0.13912370661517776
UT,STEMERG_days,,100.0,28995881,43786.0,65.0,0.15100765519074935
VT,STEMERG_days,83.0,213.0,3205958,412455.0,72.0,12.865265234291904
VA,STEMERG_days,89.0,149.0,623989,3045.0,71.0,0.4879893716075123
WA,STEMERG_days,82.0,177.0,107268,179632.0,59.0,167.460938956632
WV,STEMERG_days,83.0,188.0,8535519,67250.0,75.0,0.7878841345207012
WI,STEMERG_days,84.0,213.0,7614893,,71.0,
WY,STEMERG_days,,343.0,1792147,934.0,72.0,0.05211626055228729
