Lat,Long_,Combined_Key,Population,Total Deaths
32.53952745,-86.64408227,"Autauga, Alabama, US",55869,140585
30.72774991,-87.72207058,"Baldwin, Alabama, US",223234,446338
31.868263,-85.3871286,"Barbour, Alabama, US",24686,67064
32.99642064,-87.12511459999996,"Bibb, Alabama, US",22394,73258
33.98210918,-86.56790593,"Blount, Alabama, US",57826,162349
32.10030533,-85.71265535,"Bullock, Alabama, US",10101,40569
31.75300095,-86.68057478,"Butler, Alabama, US",19448,90523
33.77483727,-85.82630386,"Calhoun, Alabama, US",113605,414604
32.91360079,-85.39072749,"Chambers, Alabama, US",33254,124736
34.17805983,-85.60638968,"Cherokee, Alabama, US",26196,56747
32.85044126,-86.7173256,"Chilton, Alabama, US",44428,138610
32.02227341,-88.26564429999998,"Choctaw, Alabama, US",12589,28043
31.68099859,-87.83548597,"Clarke, Alabama, US",23622,70378
33.26984193,-85.85836077,"Clay, Alabama, US",13235,60206
33.67679204,-85.52005899,"Cleburne, Alabama, US",14910,47623
31.39932826,-85.98901039,"Coffee, Alabama, US",52342,152106
34.69847452,-87.80168544,"Colbert, Alabama, US",55241,172574
31.43401703,-86.99320044,"Conecuh, Alabama, US",12067,46178
32.93690146,-86.24847739,"Coosa, Alabama, US",10663,37330
31.2477854,-86.45050893,"Covington, Alabama, US",37049,157091
31.72941803,-86.31593104,"Crenshaw, Alabama, US",13772,70139
34.13020303,-86.86888037,"Cullman, Alabama, US",83768,243835
31.43037123,-85.61095742,"Dale, Alabama, US",49172,156607
32.32688101,-87.10866709999998,"Dallas, Alabama, US",37196,170371
34.45946862,-85.80782906,"DeKalb, Alabama, US",71513,220719
32.59785413,-86.14415284,"Elmore, Alabama, US",81209,240325
31.1256789,-87.15918694,"Escambia, Alabama, US",36633,111984
34.04567266,-86.04051873,"Etowah, Alabama, US",102268,429246
33.72076938,-87.73886638,"Fayette, Alabama, US",16302,66576
34.44235334,-87.84289505,"Franklin, Alabama, US",31362,97415
31.09389027,-85.83572839,"Geneva, Alabama, US",26271,104638
32.85504247,-87.95684022,"Greene, Alabama, US",8111,38103
32.76039258,-87.63284988,"Hale, Alabama, US",14651,79208
31.51148016,-85.24267944,"Henry, Alabama, US",17205,51190
31.15197924,-85.29939599,"Houston, Alabama, US",105882,336579
34.78144169,-85.99750489,"Jackson, Alabama, US",51626,153340
33.55554728,-86.89506300000002,"Jefferson, Alabama, US",658573,1680922
33.77995024,-88.09668032,"Lamar, Alabama, US",13805,43676
34.90171875,-87.65624729,"Lauderdale, Alabama, US",92729,266245
34.52041498,-87.31069453,"Lawrence, Alabama, US",32924,111191
32.60154883,-85.35132246,"Lee, Alabama, US",164542,228687
34.81185586,-86.98310072,"Limestone, Alabama, US",98915,190795
32.1597283,-86.65158371,"Lowndes, Alabama, US",9726,58889
32.38759944,-85.69267724,"Macon, Alabama, US",18068,59265
34.76327133,-86.55069633,"Madison, Alabama, US",372909,633343
32.24767634,-87.78796182,"Marengo, Alabama, US",18863,75955
