,Province_State,Population,Total Deaths
0,Alabama,4903185,16574.0
1,Alaska,740995,96116.0
2,American Samoa,55641,4163.0
3,Arizona,7278717,4300.0
4,Arkansas,3017804,21797.0
5,California,39512223,1173.0
6,Colorado,5758736,6891.0
7,Connecticut,3565287,91853.0
8,Delaware,973764,9925.0
9,District of Columbia,705749,2977.0
10,Florida,21477737,15163.0
11,Georgia,10617423,665.0
12,Guam,164229,4583.0
13,Hawaii,1415872,3102.0
14,Idaho,1787065,2017.0
15,Illinois,12671821,17969.0
16,Indiana,6732219,23013.0
17,Iowa,3155070,2414.0
18,Kansas,2913314,1846.0
19,Kentucky,4467673,20267.0
20,Louisiana,4648794,5058.0
21,Maine,1344212,43137.0
22,Maryland,6045680,18652.0
23,Massachusetts,6892503,20562.0
24,Michigan,9986857,32317.0
25,Minnesota,5639632,35721.0
26,Mississippi,2976149,10630.0
27,Missouri,6626371,92442.0
28,Montana,1068778,4031.0
29,Nebraska,1934408,8278.0
30,Nevada,3080156,9298.0
31,New Hampshire,1359711,1371.0
32,New Jersey,8882190,4764.0
33,New Mexico,2096829,2421.0
34,New York,19453561,64009.0
35,North Carolina,10488084,19724.0
36,North Dakota,762062,488575.0
37,Northern Mariana Islands,55144,2397.0
38,Ohio,11689100,47197.0
39,Oklahoma,3956971,11073.0
40,Oregon,4217737,37699.0
41,Pennsylvania,12801989,31478.0
42,Puerto Rico,3754939,2586.0
43,Rhode Island,1059361,3381.0
44,South Carolina,5148714,174983.0
45,South Dakota,884659,4920.0
46,Tennessee,6829174,9501.0
47,Texas,28995881,43786.0
48,Utah,3205958,412455.0
49,Vermont,623989,3045.0
50,Virgin Islands,107268,179632.0
51,Virginia,8535519,67250.0
52,Washington,7614893,
53,West Virginia,1792147,934.0
54,Wisconsin,5822434,5337.0
55,Wyoming,578759,7532.0
