POSTCODE,STEMERG,STEMERGEND,STAYHOME,END_STHM,FM_ALL,FM_END,QR_ALLST,QR_END,PUBDATE,STEMERG_days,STEMERGEND_days,STAYHOME_days,END_STHM_days,FM_ALL_days,FM_END_days,QR_ALLST_days,QR_END_days,PUBDATE_days
State Abbreviation,,,,,,,,,,,,,,,,,,
AL,2020-03-13,,2020-04-04,2020-04-30,2020-07-16,2021-04-09,,,2021-04-05,72.0,,94.0,120.0,197.0,464.0,,,460.0
AK,2020-03-11,2021-04-30,2020-03-28,2020-04-24,2020-04-24,2020-05-22,2020-03-25,2021-02-14,2021-03-09,70.0,485.0,87.0,114.0,114.0,142.0,84.0,410.0,433.0
AZ,2020-03-11,,2020-03-31,2020-05-16,,2021-03-25,,2020-05-12,2021-03-24,70.0,,90.0,136.0,,449.0,,132.0,448.0
AR,2020-03-11,,,,2020-07-20,2021-03-30,,2020-06-15,2021-03-30,70.0,,,,201.0,454.0,,166.0,454.0
CA,2020-03-04,,2020-03-19,2021-01-25,2020-06-18,,,,2021-04-15,63.0,,78.0,390.0,169.0,,,,470.0
CO,2020-03-11,,2020-03-26,2020-04-27,2020-07-16,2021-05-15,,,2021-04-02,70.0,,85.0,117.0,197.0,500.0,,,457.0
CT,2020-03-10,,,2020-05-20,2020-04-20,,,2021-03-19,2021-04-02,69.0,,,140.0,110.0,,,443.0,457.0
DE,2020-03-13,,2020-03-24,2020-06-01,2020-04-28,2021-05-21,2020-03-30,2020-06-01,2021-04-06,72.0,,83.0,152.0,118.0,506.0,89.0,152.0,461.0
DC,2020-03-11,,2020-04-01,2020-05-29,2020-07-22,,,2021-05-21,2021-04-19,70.0,,91.0,149.0,203.0,,,506.0,474.0
FL,2020-03-09,,2020-04-03,2020-05-18,,2021-05-04,,2020-08-05,2021-04-05,68.0,,93.0,138.0,,489.0,,217.0,460.0
GA,2020-03-14,,2020-04-03,2020-05-01,,2021-05-01,,,2021-03-25,73.0,,93.0,121.0,,486.0,,,449.0
HI,2020-03-04,,2020-03-25,2020-05-31,2020-11-16,,2020-03-26,,2021-04-19,63.0,,84.0,151.0,320.0,,85.0,,474.0
ID,2020-03-13,,2020-03-25,2020-05-01,,,2020-04-15,2020-05-16,2021-04-05,72.0,,84.0,121.0,,,105.0,136.0,460.0
IL,2020-03-09,,2020-03-21,2020-05-29,2020-05-01,,,,2021-04-12,68.0,,80.0,149.0,121.0,,,,467.0
IN,2020-03-06,,2020-03-25,2020-05-18,2020-07-27,2021-04-06,,,2021-03-31,65.0,,84.0,138.0,208.0,461.0,,,455.0
IA,2020-03-09,,,,2020-11-17,2021-02-07,,,2021-04-05,68.0,,,,321.0,403.0,,,460.0
KS,2020-03-12,,2020-03-30,2020-05-04,2020-07-03,2021-04-01,,,2021-03-29,71.0,,89.0,124.0,184.0,456.0,,,453.0
KY,2020-03-06,,,2020-06-29,2020-07-10,,2020-04-02,2020-05-06,2021-04-05,65.0,,,180.0,191.0,,92.0,126.0,460.0
LA,2020-03-11,,2020-03-23,2020-05-15,2020-08-07,2021-04-28,,,2021-03-29,70.0,,82.0,135.0,219.0,483.0,,,453.0
ME,2020-03-15,,2020-04-02,2020-05-31,2020-05-01,2021-05-24,2020-04-03,2021-05-01,2021-04-07,74.0,,92.0,151.0,121.0,509.0,93.0,486.0,462.0
MD,2020-03-05,,2020-03-30,2020-05-15,2020-04-18,2021-05-15,,2021-03-12,2021-04-06,64.0,,89.0,135.0,108.0,500.0,,436.0,461.0
MA,2020-03-10,,2020-03-24,2020-05-18,2020-05-06,2021-05-29,2020-03-27,2021-03-22,2021-04-19,69.0,,83.0,138.0,126.0,514.0,86.0,446.0,474.0
MI,2020-03-10,,2020-03-24,2020-06-01,2020-04-27,2020-10-02,,,2021-04-05,69.0,,83.0,152.0,117.0,275.0,,,460.0
